AI: 2025/04/17 10:33:12 ai.go:222: Tetrimino: T | Rotation: 1 | X: 2 | Y: 11 | Score: -230.3670
AI: 2025/04/17 10:33:12 ai.go:222: Tetrimino: T | Rotation: 1 | X: 3 | Y: 11 | Score: -263.7754
AI: 2025/04/17 10:33:12 ai.go:222: Tetrimino: T | Rotation: 2 | X: 0 | Y: 11 | Score: -236.7620
AI: 2025/04/17 10:33:12 ai.go:222: Tetrimino: T | Rotation: 2 | X: 1 | Y: 11 | Score: -207.6753
AI: 2025/04/17 10:33:12 ai.go:222: Tetrimino: T | Rotation: 2 | X: 2 | Y: 11 | Score: -230.3670
AI: 2025/04/17 10:33:12 ai.go:222: Tetrimino: T | Rotation: 2 | X: 3 | Y: 11 | Score: -263.7754
AI: 2025/04/17 10:33:12 ai.go:222: Tetrimino: T | Rotation: 2 | X: 4 | Y: 12 | Score: -249.3818
AI: 2025/04/17 10:33:12 ai.go:222: Tetrimino: T | Rotation: 2 | X: 5 | Y: 12 | Score: -233.2072
AI: 2025/04/17 10:33:12 ai.go:222: Tetrimino: T | Rotation: 2 | X: 6 | Y: 12 | Score: -212.3809
AI: 2025/04/17 10:33:12 ai.go:222: Tetrimino: T | Rotation: 2 | X: 7 | Y: 13 | Score: -214.8722
AI: 2025/04/17 10:33:12 ai.go:222: Tetrimino: T | Rotation: 0 | X: 0 | Y: 11 | Score: -236.7620
AI: 2025/04/17 10:33:12 ai.go:222: Tetrimino: T | Rotation: 0 | X: 1 | Y: 11 | Score: -207.6753
AI: 2025/04/17 10:33:12 ai.go:222: Tetrimino: T | Rotation: 0 | X: 2 | Y: 11 | Score: -230.3670
AI: 2025/04/17 10:33:12 ai.go:222: Tetrimino: T | Rotation: 3 | X: 2 | Y: 11 | Score: -230.3670
AI: 2025/04/17 10:33:12 ai.go:222: Tetrimino: T | Rotation: 1 | X: 4 | Y: 12 | Score: -249.3818
